SalesNav Name,Account Name,Deterministic Match,Match Score
Carl Buddig and Company,Melaleuca,,0.0
Cavender's,MegaMex Foods,,0.0
Centric Brands,McKee Foods,Centric Brands,100.0
CHANEL,McCormick & Company,CHANEL,100.0
Chef Works,Maytag,Chef Works,100.0
Chrome Hearts,MasterBrand,Chrome Hearts,100.0
Cinnabon,Marshall Group,Cinnabon,100.0
City Brewing Company,Mars,,0.0
Clinique,Makita,Clinique,100.0
Colchas Mexico S.A. De C.V.,M+A Matting,Colchas Mexico SA De CV,92.0
COOLA,"Lutron Electronics, Inc.",,0.0
Country Pure Foods,Lowell Corporation,Country Pure Foods,100.0
Craftmaster Furniture,Logitech,Craftmaster Furniture,100.0
"Cream O Land Dairies, LLC",Liberty Coca-Cola Beverages,,0.0
"Crocs, Inc.",Lg Hausys,,0.0
Cuisinart,Levi Strauss,Cuisinart,100.0
Culligan International,Leslie's,,0.0
CUTCO Cutlery,Lesaffre Yeast,,0.0
"Cutrale Citrus Juices USA, Inc.",Leprino Foods,,0.0
CyberPowerPC,Legrand,CyberpowerPC,91.66666666666666
Danone,Lawson Products,Dannon,83.33333333333334
Dave's Supermarkets,Lavelle,Times Supermarkets,81.08108108108108
David Yurman,Lavazza Professional,David Yurman,100.0
Denon,Land O'Lakes,,0.0
DIUNSA,Lance,,0.0
Doc Johnson Enterprises,Lancaster Colony,Doc Johnson Enterprises,100.0
Dole Food Company,Lamb Weston,Dole Food Company,100.0
Dollar General,La-Z-Boy,Dollar General,100.0
Dr. Bronner's,Kontoor Brands,Dr. Bronner's,100.0
dream on me,Kodak,,0.0
"DTLR, Inc.",Koch Foods,,0.0
DTRT Apparel Group,Koblenz,,0.0
Dura Supreme Cabinetry,Knoll,Dura Supreme Cabinetry,100.0
Dynacraft Wheels,Kingston Technology,Dynacraft Wheels,100.0
Easy Way Products,KI,Easy Way Products,100.0
ECHO Incorporated,Keurig Dr Pepper,,0.0
EDDY Foods Inc.,Kellogg Company,,0.0
El Palacio de Hierro,Kawai America Corporation,El Palacio de Hierro,100.0
El Puerto de Liverpool,Kärcher North America,,0.0
Eldorado Coffee Roasters,Kaltex,Eldorado Coffee Roasters,100.0
Elevation Labs,JVCKENWOOD USA Corporation,Elevation Labs,100.0
ella moss,Journeys,,0.0
Empresas ADOC,Johnsonville,Empresas ADOC,100.0
Endless Surf,John Morrell,Endless Surf,100.0
Epic Group,Jennie-O Turkey Store,Epic Group,100.0
Escalade,JBS Foods,Escalade,100.0
Estwing Manufacturing Company,Jaeger-LeCoultre,,0.0
Executive Cabinetry,Jackson Family Wines,Executive Cabinetry,100.0
Family Dollar,Jack Link's Beef Jerky,,0.0
Fanatics,J&J SNACK FOODS,Fanatics,100.0
Farmers Home Furniture,J.M. Smucker,Farmers Home Furniture,100.0
Farmina,ITG Brands,Farmina,100.0
FIGS,iRobot,FIGS,100.0
Firmoo,Intradeco,,0.0
Flora Home,Interface,Flora Home,100.0
"Food Giant Supermarkets, Inc.",Instant Brands,,0.0
Food Lion,InSinkErator,Food Lion,100.0
Foodland,Ingredion,Foodland,100.0
Foster Farms,Indesit Italy,Foster Farms,100.0
FRAME,illycaffè,,0.0
Frattina,IHS Holding,Frattina,100.0
Fresh Express,iFIT,Fresh Express,100.0
Fresh Mark Inc.,IFFCO,Fresh Mark,80.0
Frito-Lay,Husqvarna Group,FritoLay,94.11764705882352
Fry's Food and Drug,Husqvarna,,0.0
Funko,Hunter Douglas North America,Funko,100.0
Giant Food,Humanscale,Giant Food,100.0
Gildan,Hubbell Incorporated,,0.0
GLOCK GmbH,HTL Furniture,,0.0
Goodwill Industries International,HSS Hire,Goodwill Industries International,100.0
"Goody Products, Inc.",HP,Goody Products,82.35294117647058
Goya Foods,Howden Joinery Group,Goya Foods,100.0
Grande Custom Ingredients Group,House of Raeford,,0.0
Great Lakes Cheese,Hostess Brands,Great Lakes Cheese Company,81.81818181818181
Grupo Axo®,Hormel Foods,Grupo Axo,94.73684210526316
Grupo Flexi,Hoover,,0.0
GT's Living Foods,Hood,GT's Living Foods,100.0
H Mart,HNI,HMart,90.9090909090909
H&S Bakery Inc,Hilti,H&S Bakery,83.33333333333334
HALCON Furniture,Hilmar Cheese,HTL Furniture,82.75862068965517
Hamrick's,Hill's Pet Nutrition,Hamrick's,100.0
Harbor Freight Tools,Hilding Anders,Harbor Freight Tools,100.0
"Harps Food Stores, Inc.",Herman Miller,Harps Food Stores,85.0
Hartson-Kennedy Inc.,HEINZ,Hartson-Kennedy,85.71428571428572
Hearthside Food Solutions,Hearthside Food Solutions,Hearthside Food Solutions,100.0
Heaven Hill Brands,HCP,Heaven Hill Brands,100.0
Heckler & Koch USA,Haworth,Heckler & Koch USA,100.0
Hekman,Haverty Furniture Companies,Hekman,100.0
HEMSA,Hasbro,,0.0
Hermès,Hansgrohe,Hermes,83.33333333333334
Hiland Dairy Foods,Hansae,Hiland Dairy Foods,100.0
Hollingsworth & Vose,"Hangzhou Great Star Industrial Co.,Ltd",Hollingsworth & Vose,100.0
Home Chef,Hamilton Beach,Home Chef,100.0
Home Essentials & Beyond,Gühring,,0.0
"Homemakers Furniture, Mattresses & Accessories",Groupe SEB,,0.0
Horizon Group USA,Groupe Atlantic,Horizon Group USA,100.0
House of Raeford Farms,Griffith Foods,House of Raeford,84.21052631578947
HP,Greenworks Tools,HP,100.0
Hussey Seating Company,Great Lakes Cheese Company,,0.0
Hy Cite,Goya Foods,Hy Cite,100.0
Hybrid Apparel,Gorenje,Hybrid Apparel,100.0
ILIA Beauty,GoPro,ILIA Beauty,100.0
Impuls ®,Goody Products,Impuls,85.71428571428572
iMyFone Technology,Golden State Foods,Mio Technology,81.25
Inman Mills,Global Furniture Group,Inman Mills,100.0
Interia,Glen Dimplex,Intermix,80.0
IT'SUGAR,Glanbia Nutritionals,IT'SUGAR,100.0
ITALIKA,Gilster-Mary Lee,,0.0
J&J Snack Foods Corp,Gerflo,,0.0
J. Jill,General Mills,J. Jill,100.0
Jack Daniel Distillery,GE Appliances,,0.0
"Jazwares, LLC",Gatorade,,0.0
JBS USA,G&W Electric,,0.0
Jerash Garments & Fashions Mfg. Co. Ltd.,Funko,,0.0
"Jockey International, Inc.",Fruit of the Loom,,0.0
John Soules Foods,FRoSTA Tiefkühlkost,John Soules Foods,100.0
Johnson Fitness & Wellness,FritoLay,Johnson Fitness & Wellness,100.0
"Johnson Health Tech. Co., Ltd.",Fresh Mark,,0.0
Jonathan Louis,Franz,Jonathan Louis,100.0
Joss & Main,France Systèmes,Joss & Main,100.0
Joy Cone Co,Foster Farms,Joy Cone,84.21052631578947
JPolep Distribution Services,Fossil Group,J Polep Distribution Services,98.24561403508771
Just Cozy,Formby's,Just Cozy,100.0
Just Play,Foremost Groups,Just Play,100.0
K-Designers,Flowers Foods,K-Designers,100.0
Karns Quality Foods,Fitbit,,0.0
Kawai America,Finlays,,0.0
Ken's Foods,Festool,Ken's Foods,100.0
Kettle Cuisine,Ferrero North America,Kettle Cuisine,100.0
KI,Ferrara,KI,100.0
Kill,Fender Musical Instruments Corporation,,0.0
KIND,Farouk Systems,,0.0
Kindthread,Farnell,Kindthread,100.0
Kirker Enterprises,Fairmont Designs,Kirker Enterprises,100.0
Klein Tools,F.W. Webb Company,Klein Tools,100.0
"Koch Foods, Inc.",F Group,,0.0
Kraft Heinz,Ezaki Glico USA,,0.0
Kwalu,Epson US,Kwalu,100.0
Lakeshirts,Entegris,Lakeshirts,100.0
"LALA U.S., Inc",Engineered Floors,,0.0
Lancer Worldwide,Energizer Batteries,,0.0
LASCANA,Emak SpA,,0.0
Lasko Products,Elizabeth Arden,Lasko Products,100.0
Lavartex,Elite Comfort Solutions,Lavartex,100.0
Liberty Safe,Elica,Liberty Safe,100.0
Lids,Elevate Textiles,Lids,100.0
Living Spaces Furniture,Electrolux Group,,0.0
Liz Minelli,Elanco,Liz Minelli,100.0
Llano de la Torre,Einhell Germany,Llano de la Torre,100.0
ltr,Edgewell Personal Care,,0.0
Maggy London Group,Ecolab,,0.0
MAJESTIC,E. & J. Gallo Winery,,0.0
MANSCAPED,Dyson USA,MANSCAPED,100.0
Maples Rugs,Duracell,,0.0
Mars,DS Services,Mars,100.0
Marsh Furniture Company,Dometic Group,,0.0
MARSHALL RETAIL GROUP,Dole Food Company,,0.0
MARSHALLS LLC,Dimplex,,0.0
Maruchan Inc,Digi-Key,Maruchan,80.0
Master Massage,DEWALT Industrial Power Tool,,0.0
Mavi,Delta Faucet,Mavi,100.0
Mayo Manufacturing Corporation,Dell,,0.0
Milwaukee Tool,Del Monte Foods,,0.0
Mission Foods,Deckers Brands,Nissin Foods,88.0
Monarch Specialties Inc,De' Longhi Group,Monarch Specialties,90.47619047619048
MooreCo Inc.,Dawn Foods,,0.0
mophie,Datalogic,Mophie,83.33333333333334
Motus Integrated Technologies,Danone North America,Motus Integrated Technologies,100.0
Murad,Dannon,Murad,100.0
Murdoch's Ranch & Home Supply,Dairy Farmers of America,Murdoch's Ranch & Home Supply,100.0
MV Sport® | The Game®,Culligan,,0.0
"Nassau Candy Distributors, Inc.",Crocs,,0.0
National Beef Packing Company LLC,Crayola,,0.0
Nestlé,CP Kelco U.S,,0.0
New Balance,Coway,New Balance,100.0
New Era Cap,Coty,New Era Cap,100.0
"Nexera, LLC",Corsair,,0.0
Nike,Corelle Brands,Nike,100.0
Nintendo,Constellation Brands,,0.0
Nissin Foods,Conair,Nissin Foods,100.0
Nom Nom,Conagra Brands,,0.0
"NONGSHIM AMERICA, INC.",Comfrey Farm,,0.0
Noritz America,Columbia Sportswear,,0.0
Northgate Market,Colony Brands,Northgate Market,100.0
Nothing But Style,Colgate-Palmolive,Nothing But Style,100.0
OA S.A. DE C.V.,Coca-Cola,,0.0
OK Foods Inc.,The Coca‑Cola Company,,0.0
OLAPLEX,CloudKitchens,,0.0
"Ole Smoky Distillery, LLC",Clinique,Ole Smoky Distillery,88.88888888888889
"Ollie's Bargain Outlet, Inc.",Citizen Watch,Ollie's Bargain Outlet,88.0
Omaha Steaks,Cintas,Omaha Steaks,100.0
Omnia Leather Furniture,Church & Dwight Co.,,0.0
Onitsuka Tiger,Chobani,Onitsuka Tiger,100.0
OOBE Apparel Design Group,Chicago Pneumatic,,0.0
OSI Group,Casio America,OSI Group,100.0
Ouchhh,Carhartt,Ouchhh,100.0
OXO,CARGO Groupe,,0.0
PepsiCo,Canon U.S.A.,PepsiCo,100.0
Perdue Farms,Campbell Sales,Perdue Farms,100.0
